
Number	Player Name	Team
165	Eddie Kazak	St. Louis Cardinals
166	Paul LaPalme	Pittsburgh Pirates
167	Bill Howerton	Pittsburgh Pirates
168	Charlie Silvera	New York Yankees
169	Howie Judson	Chicago White Sox
170	Gus Bell	Pittsburgh Pirates
171	Ed Erautt	Cincinnati Reds
172	Eddie Miksis	Chicago Cubs
173	Roy Smalley	Chicago Cubs
174	Cuddles Marshall	St. Louis Browns
175	Billy Martin	New York Yankees
176	Hank Edwards	Cincinnati Reds
177	Bill Wight	Boston Red Sox
178	Cass Michaels	Washington Senators
179	Frank Smith	Cincinnati Reds
180	Charley Maxwell	Boston Red Sox
181	Bob Swift	Detroit Tigers
182	Billy Hitchcock	Philadelphia Athletics
183	Erv Dusak	Pittsburgh Pirates
184	Bob Ramazzotti	Chicago Cubs
185	Bill Nicholson	Philadelphia Phillies
186	Walt Masterson	Boston Red Sox
187	Bob Miller	Philadelphia Phillies
188	Clarence Podbielan	Brooklyn Dodgers
189	Pete Reiser	Cleveland Indians
190	Don Johnson	Washington Senators
191	Yogi Berra	New York Yankees
192	Myron Ginsberg	Detroit Tigers
193	Harry Simpson	Cleveland Indians
194	Joe Hatten	Chicago Cubs
195	Minnie Minoso	Chicago White Sox
196	Solly Hemus	St. Louis Cardinals
197	George Strickland	Pittsburgh Pirates
198	Phil Haugstad	Brooklyn Dodgers
199	George Zuverink	Cleveland Indians
200	Ralph Houk	New York Yankees
201	Alex Kellner	Philadelphia Athletics
202	Joe Collins	New York Yankees
203	Curt Simmons	Philadelphia Phillies
204	Ron Northey	Chicago Cubs
205	Clyde King	Brooklyn Dodgers
206	Joe Ostrowski	New York Yankees
207	Mickey Harris	Cleveland Indians
208	Marlin Stuart	Detroit Tigers
209	Howie Fox	Philadelphia Phillies
210	Dick Fowler	Philadelphia Athletics
211	Ray Coleman	Chicago White Sox
212	Ned Garver	St. Louis Browns
213	Nippy Jones	Philadelphia Phillies
214	Johnny Hopp	New York Yankees
215	Hank Bauer	New York Yankees
216	Richie Ashburn	Philadelphia Phillies
217	George Stirnweiss	Cleveland Indians
218	Clyde McCullough	Pittsburgh Pirates
219	Bobby Shantz	Philadelphia Athletics
220	Joe Presko	St. Louis Cardinals
221	Granny Hamner	Philadelphia Phillies
222	Hoot Evers	Detroit Tigers
223	Del Ennis	Philadelphia Phillies
224	Bruce Edwards	Chicago Cubs
225	Frank Baumholtz	Chicago Cubs
226	Dave Philley	Philadelphia Athletics
227	Joe Garagiola	Pittsburgh Pirates
228	Al Brazle	St. Louis Cardinals
229	Gene Bearden	St. Louis Browns
230	Matt Batts	Detroit Tigers
231	Sam Zoldak	Philadelphia Athletics
232	Billy Cox	Brooklyn Dodgers
233	Bob Friend	Pittsburgh Pirates
234	Steve Souchock	Detroit Tigers
235	Walt Dropo	Boston Red Sox
236	Ed Fitz Gerald	Pittsburgh Pirates
237	Jerry Coleman	New York Yankees
238	Art Houtteman	Detroit Tigers
239	Rocky Bridges	Brooklyn Dodgers
240	Jack Phillips	Pittsburgh Pirates
241	Tommy Byrne	St. Louis Browns
242	Tom Poholsky	St. Louis Cardinals
243	Larry Doby	Cleveland Indians
244	Vic Wertz	Detroit Tigers
245	Sherry Robertson	Washington Senators
246	George Kell	Detroit Tigers
247	Randy Gumpert	Boston Red Sox
248	Spec Shea	New York Yankees
249	Bobby Adams	Cincinnati Reds
250	Carl Erskine	Brooklyn Dodgers
251	Chico Carrasquel	Chicago White Sox
252	Vern Bickford	Boston Braves
253	Johnny Berardino	Cleveland Indians
254	Joe Dobson	Chicago White Sox
255	Clyde Vollmer	Boston Red Sox
256	Pete Suder	Philadelphia Athletics
257	Bobby Avila	Cleveland Indians
258	Steve Gromek	Cleveland Indians
259	Bob Addis	Chicago Cubs
260	Pete Castiglione	Pittsburgh Pirates
261	Willie Mays	New York Giants
262	Virgil Trucks	Detroit Tigers
263	Harry Brecheen	St. Louis Cardinals
264	Roy Hartsfield	Boston Braves
265	Chuck Diering	New York Giants
266	Murry Dickson	Pittsburgh Pirates
267	Sid Gordon	Boston Braves
268	Bob Lemon	Cleveland Indians
269	Willard Nixon	Boston Red Sox
270	Lou Brissie	Cleveland Indians
